ID,Categoría,Hallazgo,Detalle,Impacto en la App,Relación Backlog,Prioridad
1,Roles,Solo 2 roles necesarios: Administración y Odontólogo,El técnico no necesita login propio — lo maneja administración internamente. 2 personas usarán el panel admin.,Eliminar rol Técnico del sistema. Simplificar sidebar y permisos.,Backlog #6,Alta
2,Tipos de Servicio,Reestructurar a 2 tipos: Prótesis y Alquiler de Equipos,"Prótesis es genérico (sin sub-tipos en UI). Alquiler de Equipos tiene 2 sub-opciones: Escáner Intraoral y Fotogrametría. Full Arch y Soldadura de Titanio se eliminan como opciones separadas — son ítems dentro de la lista de precios.",Rediseñar formulario de nueva solicitud con flujos condicionales según tipo.,Backlog #7 + nuevo,Crítica
3,Selección de Servicio,Selección simple (no múltiple),Una solicitud = un tipo de servicio. No multi-select.,Cambiar multi-select a dropdown/radio en formulario de solicitud.,Backlog #7,Media
4,Tarifario,El tarifario es puramente informativo,"El odontólogo NO selecciona ítems de la lista en esta plataforma. La selección de ítems ocurre después en VEVI. La app solo envía el PDF de precios.",Confirma implementación actual. No agregar selección de ítems.,Backlog #1,Alta
5,Tarifario,3 listas de precios: 2 en pesos y 1 en USD,"Las 3 listas tienen los mismos ítems — solo varía el precio. La lista USD puede tener servicios sin precio (no disponibles). Los ítems cambian poco; precios se actualizan ~2 veces/año.",Estructura DB de tarifarios debe soportar 3 listas con mismos ítems y precios distintos.,Backlog #3,Alta
6,Tarifario,Cliente gestionará tarifarios desde la app,"Hoy usan Excel + Canva. Aceptaron la propuesta de gestionar ítems y precios desde el CRUD admin, con generación automática de PDF con branding Labneo.",Implementar módulo Tarifarios CRUD completo con generación de PDF.,Backlog #12,Alta
7,Localidad,Mapeo localidad → lista de precios pendiente del cliente,"El mapeo existe (L1/L2/L3) con criterio geográfico. La admin lo sabe de memoria. Cliente va a enviar el mapeo formal.",Bloqueante para cargar datos reales. Implementar relación localidad-lista en DB.,Backlog #2,Alta — Bloqueante
8,Flujo Prótesis,Flujo completo de solicitud de prótesis definido,"1) Odontólogo envía solicitud con localidad. 2) Admin recibe notificación. 3) Admin envía lista de precios. 4) Odontólogo confirma. 5) Admin crea usuario VEVI. 6) Odontólogo carga caso en VEVI.",Implementar estados de solicitud que reflejen estos pasos. Agregar paso de confirmación del odontólogo.,Nuevo,Crítica
9,Flujo Alquiler,Alquiler de equipos tiene flujo distinto,"No involucra lista de precios ni VEVI. Es coordinación de visita: solicitud → coordinación fecha/horario → ejecución. Lo maneja otra persona en admin.",Implementar flujo separado para alquiler con campos de dirección y fecha propuesta.,Nuevo,Alta
10,Formulario Solicitud,Campos del formulario de solicitud de prótesis,"Nombre y apellido (precargado), mail, teléfono (requerido), localidad, CUIT (campo separado), situación frente al IVA (campo separado), tipo de servicio, observaciones (campo libre).",Separar CUIT y situación frente al IVA en campos distintos. Agregar campo observaciones.,Backlog #4 (parcial),Media
11,Formulario Alquiler,Campos del formulario de alquiler de equipos,"Dirección del consultorio, tipo de servicio (escáner intraoral o fotogrametría), fecha propuesta, observaciones.",Crear formulario específico para solicitudes de alquiler.,Nuevo,Media
12,Notificaciones,Email confirmado como canal de notificación,"Notificar al odontólogo en cada cambio de estado. Notificar a admin en nueva solicitud. Datos del laboratorio (logo/datos) se usan en los mails.",Confirma diseño actual de notificaciones. Priorizar notificación de nueva solicitud y cambio de estado.,Backlog #5 #11 #13 #14,Media
13,Navegación,Fotogrametría debe estar separada en la navegación,"El cliente confirmó que fotogrametría es un servicio independiente manejado por otra persona. Debe tener su propia sección en sidebar, aunque en el flujo de solicitud entra bajo Alquiler de Equipos.",Mantener sección Fotogrametría separada en sidebar. Revisar cómo conecta con el nuevo flujo de Alquiler.,Nuevo,Media
14,VEVI,Integración VEVI confirmada para fase 2+,"VEVI (bebi.dental) es SaaS externo de gestión de laboratorio dental. Alta de odontólogos es manual. No se sabe si VEVI permite auto-registro. Ambas partes reconocen integración como deseable pero fuera de alcance.",No requiere acción ahora. Investigar API de VEVI cuando se planifique fase 2.,Backlog #17,Baja
15,Admin,Excel de seguimiento administrativo actual,"Las admins llevan un Excel con: fecha contacto, nombre, teléfono, motivo consulta, acción tomada, fecha 2do contacto, observaciones, fecha 3er contacto, observaciones.",La app debería reemplazar este Excel. El detalle de solicitud debe reflejar estos campos de seguimiento.,Nuevo,Media
16,Contexto Cliente,Interlocutoras son agencia de marketing,"Jen y Malena de Recocontenidodigital — agencia freelance de marketing/publicidad. No son profesionales dentales; aprendieron el rubro en ~2 años con Labneo. Manejan branding + diseño + redes.",Tener en cuenta que las decisiones de producto las validan ellas pero pueden necesitar consultar internamente con Labneo.,Nuevo,Info
17,Pendiente Cliente,Mapeo localidad → lista de precios,Cliente debe enviar qué localidades/zonas corresponden a L1/L2/L3.,Bloqueante para tarifarios.,Backlog #2,Alta — Bloqueante
18,Pendiente Cliente,Excel de listas de precios,Cliente debe enviar ítems y precios reales de las 3 listas.,Bloqueante para tarifarios.,Backlog #3,Alta — Bloqueante
19,Pendiente Cliente,Excel de seguimiento administrativo,Planilla manual de seguimiento para modelar vista de detalle de solicitud.,Útil pero no bloqueante.,Nuevo,Media
20,Pendiente Cliente,Instructivo de onboarding VEVI,PDF paso a paso para odontólogos — para referencia.,No bloqueante. Informativo para fase 2.,Nuevo,Baja
