id,title,description,user_story,acceptance_criteria,affected_files,dependencies,priority,status,notes
F001,Timezone picker for admin,Allow admin users to select application timezone from /configuracion route,"As an admin, I want to configure the clinic's timezone so appointments display correctly for different regions","1. Dropdown with common timezones (IANA database) 2. Saves to system_settings table in database 3. All date/time operations use selected timezone 4. Default to America/Argentina/Buenos_Aires","lib/config/timezone.ts, app/configuracion/, supabase/migrations/",F000 (timezone utilities - DONE),P2,backlog,Consider creating system_settings table. getAppTimezone() already exists and returns hardcoded value.
F002,Server-side estado validation,Validate all consulta estado transitions on server before updating database,"As a developer, I want estado changes validated server-side so malicious users cannot bypass UI restrictions","1. Create updateConsultaEstado server action 2. Use puedeTransicionarConRol for validation 3. Admin can bypass restrictions 4. Return clear Spanish error messages","app/consultas/actions.ts, lib/types/estados-consulta.ts",,P1,backlog,See backlog.md for implementation example code
F003,Estado change UI components,UI components for displaying and changing consulta estados with role-based options,"As a user, I want to see available estado transitions based on my role so I only see valid options","1. EstadoConsultaBadge component with colors 2. CambiarEstadoButton shows only permitted transitions 3. Tooltips with estado descriptions 4. Confirmation for critical transitions","app/components/consultas/, app/consultas/[id]/components/",,P2,backlog,Use obtenerTransicionesPermitidas() and NOMBRES_ESTADOS from lib/types
F004,Post-completada editing,Allow Médicos and Admins to edit medical details after completing a consulta,"As a médico, I want to edit consultation notes after marking it complete in case I need to add information","1. Create updateConsultaDetalles server action 2. Validate only CAMPOS_EDITABLES_COMPLETADA are modified 3. Prevent editing CAMPOS_NO_EDITABLES_COMPLETADA 4. Show edit form only to authorized roles","app/consultas/actions.ts, app/consultas/[id]/components/",F002,P2,backlog,Reference lib/types/estados-consulta.ts for field lists
F005,Conflict detection update,Update scheduling conflict detection to use estados_consulta JOIN,"As a user, I want the system to correctly detect scheduling conflicts excluding cancelled appointments","1. Update conflict query to JOIN estados_consulta 2. Use ESTADOS_NO_BLOQUEAN_AGENDA to exclude cancelled/ausente 3. Update bloqueaAgenda() function if needed","app/consultas/actions.ts, lib/utils/slot-calculator.ts",,P1,backlog,Query example in backlog.md
F006,Estado change audit log,Track all consulta estado changes for auditing purposes,"As an admin, I want to see the history of estado changes for compliance and debugging","1. Create consultas_estado_historial table 2. Log estado_anterior estado_nuevo usuario timestamp motivo 3. UI to view change history on consulta detail page","supabase/migrations/, app/consultas/[id]/components/",,P3,backlog,Future enhancement - lower priority
F007,Multiple shifts per day,Allow doctors to have multiple non-overlapping shifts per day,"As an admin, I want to configure morning and afternoon shifts separately for doctors","1. UI supports adding/removing multiple shifts per day 2. Validate no overlapping shifts 3. useFieldArray for dynamic form 4. Delete shift with confirmation","app/components/medico/medicos-horarios-content.tsx, app/medicos/[id]/components/",,P2,backlog,Database already supports this - only UI changes needed. See medicos-horarios-improvements.md
F008,Per-shift consultation duration,Allow different consultation durations for different shifts,"As an admin, I want morning appointments to be 30min and afternoon appointments to be 45min","1. Add duracion_consulta column to medicos_horarios 2. Override medicos_parametros_agenda when set 3. UI to configure per-shift duration 4. Slot calculator uses shift-specific duration","supabase/migrations/, lib/utils/slot-calculator.ts, app/components/medico/",F007,P3,backlog,See medicos-horarios-improvements.md for details
F009,Schedule exceptions,Allow one-time schedule overrides for specific dates (vacations holidays),"As an admin, I want to block a doctor's availability for a specific date without changing their regular schedule","1. Create medicos_horarios_excepciones table 2. Exception types: blocked unavailable modified 3. UI to add/view/remove exceptions 4. Slot calculator checks exceptions first","supabase/migrations/, lib/utils/slot-calculator.ts, app/medicos/[id]/components/",,P2,backlog,See medicos-horarios-improvements.md for schema design
F010,Consulta transfers audit,Track when consultas are transferred between médicos,"As an admin, I want to see transfer history when appointments are reassigned","1. Create consultas_transferencias table 2. Log origen destino usuario motivo timestamp 3. UI to view transfer history 4. Trigger on medico_id change","supabase/migrations/, app/consultas/[id]/components/",,P3,backlog,See consultas-scheduling-workflow.md for schema
F011,Calendar view for consultas,Alternative calendar view (day/week/month) for viewing appointments,"As a user, I want to see appointments in a calendar format for better schedule visualization","1. Toggle between grid and calendar views 2. Day week month views 3. Click appointment to navigate to detail 4. Color-coded by estado","app/consultas/components/, app/consultas/page.tsx",,P2,backlog,See phase-6-consultas-list-calendar.md for full requirements
F012,Automated appointment reminders,Send SMS/email reminders to patients before appointments,"As a clinic, I want patients reminded of appointments to reduce no-shows","1. Configure reminder timing (24h 1h before) 2. SMS and/or email options 3. Track delivery status 4. Patient opt-out option","supabase/functions/, app/configuracion/",,P3,backlog,Out of scope for MVP - future phase. Requires SMS/email provider integration.
F013,Patient self-service portal,Allow patients to view/cancel/reschedule their appointments online,"As a patient, I want to manage my appointments without calling the clinic","1. Patient authentication (separate from staff) 2. View upcoming appointments 3. Cancel with reason 4. Request reschedule","app/patient-portal/",,P3,backlog,Out of scope for MVP - future phase. Major feature requiring separate auth flow.
F014,Billing and invoicing,Generate invoices for completed consultations,"As an admin, I want to generate invoices for billing patients and insurance","1. Invoice generation from completed consulta 2. PDF export 3. Track payment status 4. Insurance claim support","app/facturacion/, supabase/migrations/",,P3,backlog,Out of scope for MVP - future phase. Requires accounting integration.
F015,Advanced reporting,Analytics dashboard with appointment statistics and trends,"As an admin, I want to see clinic performance metrics and identify trends","1. Appointments per day/week/month 2. No-show rates 3. Doctor utilization 4. Peak hours analysis","app/reportes/, app/home/components/",,P3,backlog,Out of scope for MVP - future phase.
F016,Customizable email templates,Allow admin to edit email templates for confirmation/reminder/cancellation notifications,"As an admin, I want to customize the content of email notifications so they match the clinic's communication style","1. UI to edit templates for: confirmación recordatorio cancelación 2. Template variables support (paciente_nombre fecha_hora medico_nombre etc.) 3. Preview before saving 4. Revert to default option 5. Only accessible by Administrador role","app/admin/components/, supabase/migrations/ (if storing in DB)",F012 (email reminders),P2,backlog,Templates already exist in /admin. Extend to allow full customization with variable placeholders.
